酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数
白牡丹酒造,藝陽男山,生酛,C,,生酛純米酒 夏仕込み おりがらみ,純米,辛口,日本酒度からの目安,+20.5,70％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,中生新千本,720ml,"2,200円",限定流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,1
白牡丹酒造,藝陽男山,生酛,C,,生酛純米酒 夏仕込み 生酒,純米,辛口,日本酒度からの目安,+20.5,70％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/,中生新千本,720ml,"2,200円",限定流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/,1
白牡丹酒造,白牡丹,,C,,純米生酒 氷華,純米,甘口,日本酒度からの目安,-30,70％,,常温 / 冷酒,公式商品ページ,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e7%94%9f%e9%85%92%e3%80%80%e6%b0%b7%e8%8f%af300ml/,中生新千本,300ml,"1,210円",季節商品,,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e7%94%9f%e9%85%92%e3%80%80%e6%b0%b7%e8%8f%af300ml/,1
白牡丹酒造,白牡丹,,A,公式定番・燗酒コンテスト受賞,純米酒,純米,中口,日本酒度からの目安,+0.5,70％,,常温 / ぬる燗 / 熱燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/,国産米,"300ml / 720ml / 1,800ml","490～2,431円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/,3
白牡丹酒造,白牡丹,,C,,純米酒 山田錦 米だけの酒,純米,やや辛口,日本酒度からの目安,+2,75％,,冷やして / 常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b1%b3%e3%81%a0%e3%81%91%e3%81%ae%e9%85%92-900ml/,山田錦,300ml / 900ml,"451～1,150円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b1%b3%e3%81%a0%e3%81%91%e3%81%ae%e9%85%92-900ml/,2
白牡丹酒造,白牡丹,,C,,山田錦 純米吟醸 うすにごり,純米吟醸,甘口,日本酒度からの目安,-9.5,60％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/,山田錦,720ml,"1,650円",季節商品,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/,1
白牡丹酒造,白牡丹,,B,広島酒米を前面に出す現行主要商品,広島八反 純米吟醸,純米吟醸,やや辛口,日本酒度からの目安,+1.5,60％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,八反35号,"720ml / 1,800ml","1,595～2,970円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,2
白牡丹酒造,白牡丹,,A,公式現行定番・ワイングラスアワード受賞,純米吟醸,純米吟醸,中口,日本酒度からの目安,+0.5,60％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,山田錦,"720ml / 1,800ml","1,980～3,300円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,2
白牡丹酒造,白牡丹,,C,,純米吟醸 中汲み,純米吟醸,中口,日本酒度からの目安,+1,50％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/,山田錦,"720ml / 1,800ml","2,200～4,400円",限定流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/,2
白牡丹酒造,白牡丹,,C,,純米吟醸 生貯蔵酒,純米吟醸,やや甘口,日本酒度からの目安,-2,60％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0-%e3%80%90%e8%bc%b8%e5%87%ba/,山田錦,180ml / 300ml,413～583円,輸出・海外向け,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0-%e3%80%90%e8%bc%b8%e5%87%ba/,3
白牡丹酒造,白牡丹,,C,,純米吟醸萌えいぶき,純米吟醸,やや甘口,日本酒度からの目安,-3.0,60％,,常温 / ぬる燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e8%90%8c%e3%81%88%e3%81%84%e3%81%b6%e3%81%8d1-8%ef%bd%8c%e7%93%b6%e8%a9%b0/,萌えいぶき,"720ml / 1,800ml","1,793～3,146円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e8%90%8c%e3%81%88%e3%81%84%e3%81%b6%e3%81%8d1-8%ef%bd%8c%e7%93%b6%e8%a9%b0/,2
白牡丹酒造,白牡丹,,A,公式現行定番・ワイングラスアワード受賞,華 純米吟醸,純米吟醸,甘口,日本酒度からの目安,-15,60％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%8f%af%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80-300ml%e7%93%b6%e3%80%90%e8%bc%b8%e5%87%ba%e5%b0%82%e7%94%a8/,国産米,300ml,,輸出・海外向け,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%8f%af%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80-300ml%e7%93%b6%e3%80%90%e8%bc%b8%e5%87%ba%e5%b0%82%e7%94%a8/,1
白牡丹酒造,白牡丹,,C,,山田錦 純米大吟醸 氷華,純米大吟醸,やや甘口,日本酒度からの目安,-1.5,50％,,常温 / 冷酒,公式商品ページ,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8/,山田錦,,,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8/,1
白牡丹酒造,白牡丹,,B,広島酒米を前面に出す現行主要商品,広島八反 純米大吟醸 原酒,純米大吟醸,中口,日本酒度からの目安,-0.5,50％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0/,八反35号,720ml,"2,200円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0/,1
白牡丹酒造,白牡丹,,B,広島酒米を前面に出す現行主要商品,広島八反 純米大吟醸 氷華,純米大吟醸,中口,日本酒度からの目安,0,50％,,常温 / 冷酒,公式商品ページ,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f/,八反35号,,,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f/,1
白牡丹酒造,白牡丹,,C,,純米大吟醸 令和一号酵母,純米大吟醸,甘口,日本酒度からの目安,-4.5,50％,,常温 / ぬる燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e4%bb%a4%e5%92%8c%e4%b8%80%e5%8f%b7%e9%85%b5%e6%af%8d-720ml%e7%93%b6%e8%a9%b0/,山田錦,720ml,"2,750円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e4%bb%a4%e5%92%8c%e4%b8%80%e5%8f%b7%e9%85%b5%e6%af%8d-720ml%e7%93%b6%e8%a9%b0/,1
白牡丹酒造,白牡丹,,A,公式高級ライン・広島らしさを前面に出す商品,純米大吟醸 原酒 万年蔵 杜氏 鹿島正,純米大吟醸,甘口,日本酒度からの目安,-8,38％,,常温 / ぬる燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92-%e4%b8%87%e5%b9%b4%e8%94%b5-%e6%9d%9c%e6%b0%8f-%e9%b9%bf/,千本錦,"720ml / 1,800ml","5,500～11,000円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92-%e4%b8%87%e5%b9%b4%e8%94%b5-%e6%9d%9c%e6%b0%8f-%e9%b9%bf/,2
白牡丹酒造,白牡丹,,B,2026ワイングラスアワード金賞・現行おすすめ,純米大吟醸 悠星(ゆうせい),純米大吟醸,中口,日本酒度からの目安,-0.5,50％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e6%82%a0%e6%98%9f%e3%82%86%e3%81%86%e3%81%9b%e3%81%84720ml%e7%93%b6%e8%a9%b0/,八反35号,720ml,"2,970円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e6%82%a0%e6%98%9f%e3%82%86%e3%81%86%e3%81%9b%e3%81%84720ml%e7%93%b6%e8%a9%b0/,1
白牡丹酒造,白牡丹,,C,,純米大吟醸 龍王井,純米大吟醸,やや甘口,日本酒度からの目安,-1.5,48％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e9%be%8d%e7%8e%8b%e4%ba%95-300ml%e7%93%b6%e8%a9%b0%e3%80%90%e8%bc%b8%e5%87%ba/,中生新千本,300ml,,輸出・海外向け,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e9%be%8d%e7%8e%8b%e4%ba%95-300ml%e7%93%b6%e8%a9%b0%e3%80%90%e8%bc%b8%e5%87%ba/,1
西條鶴醸造,西條鶴,,A,公式贈答・おすすめ定番,吟醸酒「ゴールド西條鶴」,吟醸,不明,公開情報で判定材料不足,,,,冷酒 / 常温 / ぬる燗,現行酒販店商品情報,https://osake-style.com/SHOP/10020122.html,,720ml,,一般流通,,https://saijotsuru.co.jp/?pid=157617449,1
西條鶴醸造,西條鶴,,C,,広島流辛口吟醸 吟醸生酒,吟醸,辛口,商品名に辛口表記,,,,要確認,公開情報で要確認,,,720ml,"2,200円",季節商品,,https://saijotsuru.co.jp/?pid=178569049,1
西條鶴醸造,西條鶴,,C,,新・生酛純米原酒「Natural」,純米,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,,,一般流通,,https://saijotsuru.co.jp/?pid=168115135,1
西條鶴醸造,西條鶴,,C,,純米『愛山』70,純米,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,500ml,"2,200円",限定流通,,https://saijotsuru.co.jp/?pid=191215726,1
西條鶴醸造,西條鶴,,C,,純米にごり酒（微発泡タイプ生酒）,純米,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"2,000円",季節商品,,https://saijotsuru.co.jp/?pid=155394785,1
西條鶴醸造,西條鶴,,C,,純米生原酒,純米,不明,公開情報で判定材料不足,,,,冷酒,地域観光資料,https://higashihiroshima-digital-sightseeing.com/joy/ichioshi/,,300ml / 720ml,,一般流通,,https://saijotsuru.co.jp/?pid=154356753,1
西條鶴醸造,西條鶴,,A,公式おすすめ・定番純米,純米酒「大地の風」,純米,不明,公開情報で判定材料不足,,,,冷酒 / 常温 / 熱燗,地域観光資料,https://higashihiroshima-digital-sightseeing.com/joy/ichioshi/,,"720ml / 1,800ml",,一般流通,,https://saijotsuru.co.jp/?pid=157617524,2
西條鶴醸造,西條鶴,,A,公式おすすめ商品,辛口純米酒『きんさいや』,純米,辛口,商品名に辛口表記,,,,要確認,公開情報で要確認,,,500ml,,一般流通,,https://saijotsuru.co.jp/?pid=189850838,1
西條鶴醸造,西條鶴,,C,,酒蔵限定酒・杜氏入魂無濾過純米生酒,純米,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"2,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356283,1
西條鶴醸造,西條鶴,,C,,酒蔵限定酒・無濾過純米生酒,純米,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"2,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356253,1
西條鶴醸造,西條鶴,,A,公式おすすめ・定番純米吟醸,純米吟醸「大地の冠」,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,"720ml / 1,800ml",,一般流通,,https://saijotsuru.co.jp/?pid=157617368,2
西條鶴醸造,西條鶴,,C,,純米吟醸「雄町・秋あがり」,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,,,一般流通,,https://saijotsuru.co.jp/?pid=154356132,1
西條鶴醸造,西條鶴,,C,,酒蔵限定酒・無濾過純米吟醸生酒,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"3,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356266,1
西條鶴醸造,西條鶴,,C,,酒蔵限定酒・純米吟醸「備前雄町」,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"2,500円",限定流通,,https://saijotsuru.co.jp/?pid=154356303,1
西條鶴醸造,西條鶴,,B,公式純米大吟醸カテゴリの現行商品,純米大吟醸「西鶴」,純米大吟醸,不明,公開情報で判定材料不足,,,,常温,広島県資料,https://www.pref.hiroshima.lg.jp/uploaded/attachment/524371.pdf,,720ml,,一般流通,,https://saijotsuru.co.jp/?pid=157617273,1
西條鶴醸造,西條鶴,,A,公式おすすめ・純米大吟醸の中心商品,純米大吟醸原酒「神髄」,純米大吟醸,不明,公開情報で判定材料不足,,,,常温,広島県資料,https://www.pref.hiroshima.lg.jp/uploaded/attachment/524371.pdf,,"180ml / 500ml / 720ml / 1,800ml","6,600円",一般流通,,https://saijotsuru.co.jp/?pid=180817561,4
西條鶴醸造,西條鶴,,C,,純米大吟醸原酒「飛天空」,純米大吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,,一般流通,,https://saijotsuru.co.jp/?pid=154356442,1
西條鶴醸造,西條鶴,,C,,酒蔵限定酒・純米大吟醸原酒,純米大吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"4,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356394,1
亀齢酒造,亀齢萬年,,C,,亀齢萬年 山田錦 生酒,その他,辛口,公開情報で判定材料不足,,60％,17度,要確認,出典記載,https://www.hiroshimasake.com/product/15,山田錦,"720ml / 1,800ml","1,408～2,640円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/15,2
亀齢酒造,亀齢萬年,,C,,亀齢萬年 山田錦おりがらみ 生酒,その他,辛口,公開情報で判定材料不足,,60％,17度,要確認,出典記載,https://www.hiroshimasake.com/product/564,山田錦,"720ml / 1,800ml","1,408～2,640円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/564,2
亀齢酒造,亀齢,,A,公式直売所限定の代表酒として現行販売,吉田屋の酒,その他,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,,,一般流通,公式直売所の主な販売酒,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,1
亀齢酒造,亀齢,,A,現行流通の代表高級酒,亀齢 大吟醸 創,大吟醸,辛口,日本酒度からの目安,＋５,４５％,17度以上18度未満,冷酒 / ロック,出典記載,https://www.hiroshimasake.com/product/17,山田錦,720ml,"3,300円",一般流通,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/17,1
亀齢酒造,亀齢,,B,地元で継続流通する定番酒,亀齢 上撰,普通酒・上撰,辛口,現行販売店の商品説明,,,,冷酒 / 燗酒,現行販売店の商品説明,https://osake-style.com/SHOP/11012948.html,,"1,800ml","2,398円",一般流通,現行酒販店で在庫ありを確認,https://osake-style.com/SHOP/11012948.html,2
亀齢酒造,亀齢,,B,2026年現行流通の個性派純米,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,純米,甘口,日本酒度からの目安,-18,70％,17度,要確認,出典記載,https://www.hiroshimasake.com/product/182,,"720ml / 1,800ml","1,650～2,860円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/182,2
亀齢酒造,亀齢,,A,現行流通で代表銘柄として広く扱われる辛口純米,亀齢 辛口純米 八拾,純米,辛口,商品名に辛口表記,＋５,８０％,17度,要確認,出典記載,https://www.hiroshimasake.com/product/37,中生新千本,"720ml / 1,800ml","1,430～2,500円",限定流通,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/37,2
亀齢酒造,亀齢,,A,現行流通で代表銘柄として広く扱われる辛口純米,亀齢 辛口純米 八拾 生酒,純米,辛口,商品名に辛口表記,,80％,17.0度,要確認,出典記載,https://www.hiroshimasake.com/product/96,中生新千本,"720ml / 1,800ml","1,430～2,500円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/96,2
亀齢酒造,亀齢,,B,2026年東広島10蔵定期便採用の現行純米吟醸,亀齢 純米吟醸 六拾,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,,一般流通,2026年5月 東広島10蔵定期便採用,https://e-sake.jp/article/article-1369/,1
亀齢酒造,亀齢,,B,2026年現行流通の原形精米シリーズ,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,純米吟醸,辛口,公開情報で判定材料不足,,60％,16度,要確認,出典記載,https://www.hiroshimasake.com/product/550,千本錦100%,"720ml / 1,800ml","1,760～2,904円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/550,2
亀齢酒造,亀齢,,B,2026年現行流通の原形精米シリーズ,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,純米吟醸,不明,公開情報で判定材料不足,,60％,18度,要確認,出典記載,https://www.hiroshimasake.com/product/581,萌えいぶき,"720ml / 1,800ml","1,815～3,520円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/581,2
亀齢酒造,亀齢萬年,,A,亀齢萬年を代表する2026年現行の純米大吟醸ライン,亀齢萬年 純米大吟醸原酒五拾 生酒,純米大吟醸,辛口,公開情報で判定材料不足,,50％,17度,要確認,出典記載,https://www.hiroshimasake.com/product/552,広島造賀産線状心白米100%,"720ml / 1,800ml","2,200～3,960円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/552,2
亀齢酒造,亀齢萬年,,C,,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,純米大吟醸,辛口,公開情報で判定材料不足,,50％,18度,要確認,出典記載,https://www.hiroshimasake.com/product/412,広島造賀産線状心白米100%,"720ml / 1,800ml","2,420～4,400円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/412,2
